period_date,ae_type_1_attendances,ae_type_2_attendances,ae_type_3_attendances,ae_total_attendances,emergency_admissions_via_type_1_ae,emergency_admissions_via_type_2_ae,emergency_admissions_via_type_3_4_ae,emergency_admissions_via_ae,other_emergency_admissions,total_emergency_admissions,dta_waits_over_4h,dta_waits_over_12h,operational_standard
2012-03-01,1263082.2857142864,58574.28571428571,611496.2857142857,1933152.8571428568,319222.57142857125,3365.8571428571454,3476.142857142858,326064.5714285715,128331.42857142849,454396.0,10198.714285714284,0.9999999999999998,0.95
2012-04-01,1149633.714285714,51689.285714285725,568200.2857142856,1769523.2857142854,302599.0,2686.5714285714294,2419.714285714286,307705.28571428574,116423.57142857143,424128.85714285733,10131.714285714292,0.0,0.95
2012-05-01,1251414.285714286,56416.7142857143,621739.4285714289,1929570.4285714282,316001.14285714296,2748.285714285714,2383.2857142857138,321132.71428571444,122744.71428571429,443877.4285714286,8680.571428571426,0.0,0.95
2012-06-01,1222084.2857142854,53957.000000000015,611800.0000000001,1887841.2857142857,306004.857142857,2613.2857142857138,2387.7142857142853,311005.8571428573,114999.85714285714,426005.7142857141,8409.285714285714,1.8571428571428565,0.95
2012-07-01,1248953.285714286,55391.85714285712,620178.1428571427,1924523.2857142868,316142.9999999999,2751.285714285714,2384.428571428572,321278.7142857143,123676.28571428575,444954.9999999998,7264.857142857144,1.1428571428571426,0.95
2012-08-01,1197383.8571428573,52904.857142857145,594853.5714285711,1845142.2857142854,305791.00000000006,2516.2857142857147,2373.0,310680.2857142857,114492.28571428574,425172.5714285713,7127.857142857141,1.9999999999999993,0.95
2012-09-01,1178360.714285714,51526.14285714288,558603.9999999997,1788490.8571428568,303416.71428571444,2546.4285714285725,2278.857142857143,308242.0000000001,113536.42857142855,421778.42857142846,9022.285714285714,1.9999999999999996,0.95
2012-10-01,1214433.4285714284,53422.99999999999,564447.8571428569,1832304.2857142864,317919.0,2652.1428571428564,2439.428571428571,323010.5714285715,123292.14285714284,446302.71428571426,11088.714285714292,0.0,0.95
2012-11-01,1167908.0000000002,51804.71428571426,535892.4285714286,1755605.142857143,309440.8571428572,2798.2857142857138,2251.1428571428573,314490.2857142858,120819.2857142857,435309.5714285716,11560.999999999998,0.9999999999999998,0.95
2012-12-01,1202080.2857142861,47553.428571428565,572791.8571428573,1822425.5714285711,326829.2857142857,1287.5714285714282,2424.142857142857,330540.9999999998,120639.71428571433,451180.71428571426,16505.142857142866,13.714285714285708,0.95
2013-01-01,1149837.1428571434,49518.42857142858,533762.8571428573,1733118.4285714284,316170.57142857154,1066.8571428571424,2310.8571428571436,319548.2857142859,117661.71428571428,437210.0000000002,19709.285714285714,49.57142857142854,0.95
2013-02-01,1085332.7142857139,48970.42857142856,514445.2857142857,1648748.4285714282,290544.1428571428,1129.8571428571427,2221.857142857142,293895.85714285716,111054.85714285707,404950.7142857142,18973.714285714286,17.285714285714278,0.95
2013-03-01,1226196.4285714282,54219.000000000015,584668.7142857143,1865084.142857143,326673.14285714267,1336.285714285715,2440.571428571428,330449.99999999994,123188.28571428575,453638.2857142861,24395.14285714285,81.42857142857143,0.95
2013-04-01,1199089.1428571427,54306.00000000003,578025.2857142854,1831420.4285714282,309033.1428571429,1251.857142857143,2378.5714285714284,312663.5714285715,116581.14285714291,429244.7142857144,23485.428571428583,43.000000000000014,0.95
2013-05-01,1229747.4285714282,54728.57142857142,607194.2857142859,1891670.2857142868,316071.57142857136,1316.7142857142862,2376.0000000000005,319764.2857142856,117933.8571428572,437698.1428571429,9651.857142857141,0.0,0.95
2013-06-01,1191352.4285714286,54589.428571428565,585094.4285714285,1831036.285714285,304051.28571428574,1219.4285714285716,2318.4285714285706,307589.1428571428,115610.00000000006,423199.14285714267,8381.71428571429,6.999999999999997,0.95
2013-07-01,1281699.8571428573,55536.000000000015,639053.0,1976288.857142857,318789.85714285733,1399.428571428572,2280.4285714285716,322469.7142857144,121381.42857142854,443851.1428571428,9303.142857142857,2.999999999999999,0.95
2013-08-01,1189671.428571429,53239.14285714286,597680.5714285715,1840591.1428571427,309887.42857142846,1298.4285714285713,2262.4285714285716,313448.2857142857,113460.71428571432,426908.9999999999,10438.571428571422,1.9999999999999996,0.95
2013-09-01,1156569.1428571425,52311.57142857146,559868.0000000001,1768748.7142857143,307638.0000000001,1298.0,2145.1428571428573,311081.14285714296,116697.42857142849,427778.5714285715,13382.714285714286,8.999999999999995,0.95
2013-10-01,1199258.5714285714,52705.285714285696,577465.4285714286,1829429.2857142847,322015.00000000006,1331.7142857142853,2274.7142857142867,325621.42857142846,124009.85714285719,449631.2857142857,13851.714285714279,20.71428571428571,0.95
2013-11-01,1139112.1428571423,50630.571428571435,543293.8571428569,1733036.571428572,315374.2857142857,1390.9999999999995,2161.2857142857147,318926.5714285715,122697.7142857143,441624.2857142856,11903.571428571424,7.2857142857142865,0.95
2013-12-01,1172011.1428571427,47808.57142857141,562209.4285714288,1782029.1428571427,333323.71428571414,1490.714285714285,2655.285714285714,337469.71428571426,124948.00000000003,462417.71428571426,15115.428571428576,20.85714285714286,0.95
2014-01-01,1142283.5714285716,51059.57142857143,546195.7142857143,1739538.8571428573,328886.7142857143,1240.2857142857147,2435.5714285714284,332562.57142857154,124825.28571428568,457387.85714285733,19000.857142857145,42.14285714285716,0.95
2014-02-01,1084743.7142857143,47704.7142857143,529366.0,1661814.4285714277,302574.57142857136,1163.1428571428573,2246.5714285714284,305984.2857142856,114502.85714285714,420487.14285714284,19236.42857142857,76.85714285714285,0.95
2014-03-01,1269436.142857143,55798.14285714286,632106.5714285715,1957340.8571428587,336284.4285714285,1345.9999999999998,2361.285714285714,339991.7142857144,127859.5714285714,467851.2857142859,15129.99999999999,9.714285714285719,0.95
2014-04-01,1213065.8571428573,52033.71428571427,612576.2857142857,1877675.8571428566,326337.1428571428,1318.7142857142856,2414.8571428571413,330070.7142857141,118610.85714285714,448681.57142857136,15829.285714285717,23.42857142857143,0.95
2014-05-01,1287333.1428571427,54445.71428571429,636249.5714285718,1978028.4285714282,339252.85714285716,1230.857142857143,2677.000000000002,343160.7142857142,122910.2857142857,466070.99999999965,17822.42857142857,10.0,0.95
2014-06-01,1265211.142857143,54997.14285714282,622059.7142857142,1942267.999999999,327064.71428571426,1250.7142857142858,2548.428571428573,330863.85714285704,119953.4285714285,450817.2857142855,14724.142857142859,8.285714285714283,0.95
2014-07-01,1302588.4285714282,55792.57142857146,635249.857142857,1993630.8571428566,334822.857142857,1328.5714285714284,2513.285714285714,338664.71428571444,124457.42857142857,463122.1428571426,16615.714285714283,5.428571428571428,0.95
2014-08-01,1188146.7142857146,53051.28571428572,576112.0000000001,1817309.9999999995,321638.4285714287,1233.428571428572,2404.7142857142862,325276.5714285716,116481.14285714277,441757.7142857144,15736.0,8.285714285714285,0.95
2014-09-01,1221781.5714285716,52195.285714285725,579308.8571428573,1853285.7142857146,323732.57142857154,1245.285714285714,2413.7142857142853,327391.5714285715,118734.42857142857,446126.0000000001,19611.000000000007,28.142857142857146,0.95
2014-10-01,1250114.1428571434,54428.2857142857,587831.5714285716,1892374.0000000002,339832.57142857136,1571.7142857142865,2583.857142857144,343988.14285714284,125279.85714285712,469267.9999999998,24941.142857142873,54.85714285714285,0.95
2014-11-01,1205519.2857142857,52329.428571428565,572611.5714285714,1830460.2857142866,331923.85714285704,1799.000000000001,3355.4285714285697,337078.2857142857,127263.71428571429,464341.99999999977,25663.857142857145,35.00000000000001,0.95
2014-12-01,1241894.7142857136,47659.57142857144,611672.7142857146,1901226.9999999993,353471.85714285716,1807.4285714285706,3731.1428571428573,359010.42857142864,125350.2857142857,484360.7142857144,45982.14285714284,186.42857142857142,0.95
2015-01-01,1124040.428571428,50900.42857142858,557126.1428571428,1732066.9999999995,333668.8571428572,1400.285714285714,3389.4285714285716,338458.5714285715,124942.2857142857,463400.8571428571,44902.85714285716,650.1428571428572,0.95
2015-02-01,1072451.571428571,48156.857142857145,534237.9999999998,1654846.4285714282,306651.2857142857,1286.9999999999998,2914.7142857142867,310853.0,113781.71428571432,424634.71428571414,33137.14285714285,183.85714285714295,0.95
2015-03-01,1251324.8571428568,56383.00000000002,635259.1428571428,1942967.0000000005,340682.2857142857,1603.428571428572,4359.0,346644.7142857144,128295.99999999994,474940.71428571455,30768.142857142862,53.5714285714286,0.95
2015-04-01,1206631.285714286,52365.71428571426,614170.7142857141,1873167.7142857148,326807.42857142875,1433.7142857142865,4125.714285714286,332366.8571428571,117886.57142857148,450253.4285714285,27995.85714285713,58.0,0.95
2015-05-01,1254445.1428571427,54809.42857142856,628214.2857142863,1937468.8571428577,339572.2857142856,1485.1428571428569,4315.0,345372.42857142864,123043.1428571429,468415.5714285715,23523.857142857138,46.00000000000003,0.95
2015-06-01,1249213.0,53398.00000000001,608598.0000000001,1911209.0,328757.0,1139.0,4085.0,333981.0,124809.0,458790.0,19065.0,24.999999999999986,0.95
2015-07-01,1271523.0,53417.0,627955.0,1952895.0,338445.0,1393.0,4203.0,344041.0,129873.0,473914.0,17275.0,22.0,0.95
2015-08-01,1215826.0,49458.0,599855.0,1865139.0,331841.0,1225.0,4063.0,337129.0,118303.0,455432.0,20030.0,28.0,0.95
2015-09-01,1221594.0,50868.0,587517.0,1859979.0,332984.0,1250.0,3847.0,338081.0,126114.0,464195.0,25883.0,23.0,0.95
2015-10-01,1261395.0,50275.0,611438.0,1923108.0,345833.0,1041.0,4308.0,351182.0,128805.0,479987.0,31582.0,58.0,0.95
2015-11-01,1236294.0,48306.0,589635.0,1874235.0,340241.0,1037.0,3630.0,344908.0,130656.0,475564.0,34170.0,29.0,0.95
2015-12-01,1232965.0,46148.0,588539.0,1867652.0,353112.0,1098.0,3921.0,358131.0,129667.0,487798.0,32939.0,29.0,0.95
2016-01-01,1250005.0,47208.42857143,609707.0,1906920.42857143,353778.0,1114.0,4076.0,358968.0,125865.0,484833.0,51571.0,158.0,0.95
2016-02-01,1218372.0,48387.0,604017.0,1870776.0,333519.0,1047.0,3784.0,338350.0,124514.0,462864.0,50066.0,188.0,0.95
2016-03-01,1350373.0,49906.0,687274.0,2087553.0,357724.0,1125.0,4466.0,363315.0,130761.0,494076.0,53640.0,349.0,0.95
2016-04-01,1214057.0,50359.0,603365.0,1867781.0,333458.0,1079.0,3676.0,338213.0,121996.0,460209.0,38632.0,196.0,0.95
2016-05-01,1353206.0,52180.0,664954.0,2070340.0,359307.0,1108.0,3965.0,364380.0,128811.0,493191.0,38203.0,107.0,0.95
2016-06-01,1282499.0,52180.0,624123.0,1958802.0,346030.0,1087.0,3843.0,350960.0,129250.0,480210.0,35300.0,84.0,0.95
2016-07-01,1353477.0,52961.0,672596.0,2079034.0,356986.0,1100.0,3693.0,361779.0,128442.0,490221.0,37466.0,113.0,0.95
2016-08-01,1254439.0,52404.0,626058.0,1932901.0,342617.0,1186.0,3882.0,347685.0,122869.0,470554.0,34253.0,57.0,0.95
2016-09-01,1277578.0,52521.0,622365.0,1952464.0,345085.0,1226.0,3841.0,350152.0,125656.0,475808.0,35694.0,86.0,0.95
2016-10-01,1317571.0,51020.0,633225.0,2001816.0,357874.0,1160.0,4275.0,363309.0,129674.0,492983.0,48816.0,252.0,0.95
2016-11-01,1258205.0,49979.0,599687.0,1907871.0,351285.0,1166.0,4095.0,356546.0,132780.0,489326.0,52988.0,457.0,0.95
2016-12-01,1277133.0,45569.0,621865.0,1944567.0,366086.0,1078.0,3384.0,370548.0,127367.0,497915.0,61729.0,553.0,0.95
2017-01-01,1237177.0,48039.0,610056.0,1895272.0,358045.0,1186.0,3709.0,362940.0,129333.0,492273.0,79551.0,989.0,0.95
2017-02-01,1127909.0,45733.0,561977.0,1735619.0,322294.0,1029.0,3338.0,326661.0,121027.0,447688.0,54491.0,338.0,0.95
2017-03-01,1309507.0,53355.0,652972.0,2015834.0,365117.0,1165.0,3821.0,370103.0,139702.0,509805.0,42970.0,270.0,0.95
2017-04-01,1253743.0,47550.0,648469.0,1949762.0,347805.0,1124.0,3636.0,352565.0,118763.0,471328.0,33923.0,143.0,0.95
2017-05-01,1347297.0,51037.0,668455.0,2066789.0,369644.0,1186.0,3640.0,374470.0,131373.0,505843.0,40296.0,115.0,0.95
2017-06-01,1296877.0,50612.0,646567.0,1994056.0,356052.0,1243.0,3898.0,361193.0,130013.0,491206.0,34476.0,55.0,0.95
2017-07-01,1348648.0,50369.0,674927.0,2073944.0,365685.0,1164.0,3658.0,370507.0,128752.0,499259.0,37258.0,74.0,0.95
2017-08-01,1256655.0,47912.0,620096.0,1924663.0,356405.0,1176.0,3404.0,360985.0,125089.0,486074.0,37164.0,50.0,0.95
2017-09-01,1263957.0,47250.0,614754.0,1925961.0,356160.0,1177.0,3661.0,360998.0,125801.0,486799.0,42157.0,77.0,0.95
2017-10-01,1325211.0,50198.0,668728.0,2044137.0,373673.0,1204.0,3934.0,378811.0,134406.0,513217.0,45500.0,57.0,0.95
2017-11-01,1281913.0,48223.0,646835.0,1976971.0,372551.0,1243.0,3876.0,377670.0,135349.0,513019.0,48623.0,107.0,
2017-12-01,1289587.0,42158.0,672209.0,2003954.0,387919.0,1150.0,4467.0,393536.0,127267.0,520803.0,69086.0,517.0,
2018-01-01,1257026.0,49987.0,693073.0,2000086.0,383879.0,1214.0,4634.0,389727.0,136318.0,526045.0,81231.0,1054.0,
2018-02-01,1151757.0,41902.0,626353.0,1820012.0,347470.0,1087.0,4145.0,352702.0,124165.0,476867.0,68712.0,369.0,
2018-03-01,1299796.0,46655.0,703334.0,2049785.0,385196.0,1283.0,4523.0,391002.0,135064.0,526066.0,76233.0,853.0,
2018-04-01,1246348.0,47256.0,690765.0,1984369.0,370142.0,1418.0,4290.0,375850.0,127543.0,503393.0,48004.0,356.0,
2018-05-01,1354711.0,49219.0,760528.0,2164458.0,392433.0,1508.0,4762.0,398703.0,134754.0,533457.0,39236.0,106.0,
2018-06-01,1306739.0,49635.0,737568.0,2093942.0,376782.0,1646.0,4506.0,382934.0,130320.0,513254.0,33750.0,99.0,
2018-07-01,1365859.0,49846.0,764191.0,2179896.0,390294.0,1523.0,4908.0,396725.0,133207.0,529932.0,42823.0,149.0,
2018-08-01,1252767.0,49117.0,695970.0,1997854.0,382863.0,1508.0,4703.0,389074.0,128225.0,517299.0,40214.0,162.0,
2018-09-01,1269088.0,47622.0,688985.0,2005695.0,379951.0,1389.0,4635.0,385975.0,124347.0,510322.0,44582.0,154.0,
2018-10-01,1320032.0,51282.0,708178.0,2079492.0,398478.0,1703.0,4913.0,405094.0,140928.0,546022.0,49014.0,214.0,
2018-11-01,1305353.0,48465.0,684029.0,2037847.0,397128.0,1698.0,4690.0,403516.0,141841.0,545357.0,54373.0,259.0,
2018-12-01,1307359.0,43072.0,697087.0,2047518.0,407286.0,1565.0,4781.0,413632.0,131271.0,544903.0,59805.0,284.0,
2019-01-01,1344354.0,47616.0,721443.0,2113413.0,414698.0,1680.0,5095.0,421473.0,142562.0,564035.0,83554.0,627.0,
2019-02-01,1234328.0,44183.0,676436.0,1954947.0,370476.0,1645.0,5381.0,377502.0,128220.0,505722.0,70815.0,521.0,
2019-03-01,1373061.0,50490.0,744000.0,2167551.0,409617.0,1730.0,4617.0,415964.0,139493.0,555457.0,59510.0,331.0,
2019-04-01,1330825.0,49281.0,732059.0,2112165.0,398802.0,1787.0,4850.0,405439.0,129787.0,535226.0,66933.0,442.0,
2019-05-01,1369332.0,50642.0,752032.0,2172006.0,406065.0,2145.0,4631.0,412841.0,134541.0,547382.0,61507.0,416.0,
2019-06-01,1334137.0,49233.0,724617.0,2107987.0,392446.0,1528.0,4696.0,398670.0,130131.0,528801.0,57671.0,462.0,
2019-07-01,1415918.0,52418.0,796714.0,2265050.0,408752.0,1840.0,5101.0,415693.0,138376.0,554069.0,58532.0,452.0,
2019-08-01,1324070.0,48786.0,752579.0,2125435.0,393710.0,1366.0,4877.0,399953.0,129278.0,529231.0,56498.0,371.0,
2019-09-01,1342510.0,48217.0,732618.0,2123345.0,391228.0,1363.0,7133.0,399724.0,130179.0,529903.0,64924.0,458.0,
2019-10-01,1376347.0,50391.0,744147.0,2170885.0,412649.0,1810.0,6647.0,421106.0,142027.0,563133.0,80091.0,725.0,
2019-11-01,1366383.0,47179.0,729943.0,2143505.0,408116.0,1736.0,6607.0,416459.0,143097.0,559556.0,88922.0,1111.0,
2019-12-01,1373654.0,43458.0,763425.0,2180537.0,416017.0,3570.0,5047.0,424634.0,136161.0,560795.0,98461.0,2356.0,
2020-01-01,1327234.0,49597.0,737878.0,2114709.0,408501.0,1729.0,6311.0,416541.0,142517.0,559058.0,100579.0,2847.0,
2020-02-01,1237255.0,45124.0,687312.0,1969691.0,374612.0,3231.0,4434.0,382277.0,128534.0,510811.0,78646.0,1621.0,
2020-03-01,1013021.0,32747.0,486033.0,1531801.0,319392.0,1394.0,5047.0,325833.0,102135.0,427968.0,51790.0,1174.0,
2020-04-01,689720.0,19726.0,207129.0,916575.0,252680.0,960.0,4288.0,257928.0,68653.0,326581.0,15720.0,251.0,
2020-05-01,924218.0,26479.0,311140.0,1261837.0,308798.0,1165.0,2756.0,312719.0,85687.0,398406.0,13457.0,93.0,
2020-06-01,1016132.0,30894.0,363576.0,1410602.0,332910.0,1344.0,3455.0,337709.0,99892.0,437601.0,17881.0,159.0,
2020-07-01,1120421.0,32759.0,435106.0,1588286.0,358671.0,1340.0,3372.0,363383.0,109843.0,473226.0,21025.0,271.0,
2020-08-01,1179019.0,32231.0,507753.0,1719003.0,365503.0,1217.0,3488.0,370208.0,104017.0,474225.0,32159.0,335.0,
2020-09-01,1163948.0,33295.0,496637.0,1693880.0,365705.0,1208.0,3682.0,370595.0,109260.0,479855.0,44996.0,346.0,
2020-10-01,1111958.0,33012.0,454377.0,1599347.0,367175.0,1270.0,3514.0,371959.0,109887.0,481846.0,66794.0,1268.0,
2020-11-01,1036350.0,31872.0,416954.0,1485176.0,343989.0,1155.0,3533.0,348677.0,105239.0,453916.0,71041.0,2148.0,
2020-12-01,1039474.0,29838.0,405362.0,1474674.0,351824.0,1146.0,3535.0,356505.0,103755.0,460260.0,89927.0,3745.0,
2021-01-01,941194.0,25744.0,343868.0,1310806.0,343534.0,1085.0,3426.0,348045.0,97555.0,445600.0,95695.0,3825.0,
2021-02-01,903771.0,27972.0,346348.0,1278091.0,318460.0,1101.0,3485.0,323046.0,99378.0,422424.0,57152.0,1021.0,
2021-03-01,1161079.0,35656.0,494547.0,1691282.0,375926.0,1391.0,5605.0,382922.0,121004.0,503926.0,50972.0,688.0,
2021-04-01,1259266.0,35363.0,571603.0,1866232.0,385748.0,1261.0,5267.0,392276.0,117986.0,510262.0,48719.0,526.0,
2021-05-01,1396116.0,38747.0,640679.0,2075542.0,411470.0,1403.0,5593.0,418466.0,125499.0,543965.0,57308.0,695.0,
